date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:55	2544/2544	---M--	200	added ('OK')	image/png	etag:%22a54-5a97c3b733c80%22	https://www.addictinggames.com/sites/all/themes/starkish/images/favicon/android-icon-192x192.png	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/all/themes/starkish/images/favicon/android-icon-192x192.png	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:56	2008/2008	---M--	200	added ('OK')	image/png	etag:%22a3e-5a97c3b733c80%22	https://www.addictinggames.com/sites/all/themes/starkish/images/favicon/ms-icon-144x144.png	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/all/themes/starkish/images/favicon/ms-icon-144x144.png	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:56	281391/281391	---MCZ	200	added ('OK')	text/css	etag:W/%2244bb6-5cf5f601be93f-gzip%22	https://www.addictinggames.com/sites/default/files/advagg_css/css__aTQ1NR2_-Nr4yHJXzkSm-k69qY8MxrowtOa7Dy54H20__3Ph0kjzlEeIVLFe8CUErz-ffr6LkOEQZiHLb7EcjtWE__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.css	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/default/files/advagg_css/css__aTQ1NR2_-Nr4yHJXzkSm-k69qY8MxrowtOa7Dy54H20__3Ph0kjzlEeIVLFe8CUErz-ffr6LkOEQZiHLb7EcjtWE__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.css	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:56	467174/467174	---MCZ	200	added ('OK')	text/css	etag:W/%22721ff-5d0edce1d6dcc-gzip%22	https://www.addictinggames.com/sites/default/files/advagg_css/css__oiG-Rj15C4br6h8dMVs8NLgT4TXP7jOxHM5zDTZTp2E__CqJMaHuvHvjyOgToeYRaSprCDaG9m2mbxreFyqw3mgg__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.css	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/default/files/advagg_css/css__oiG-Rj15C4br6h8dMVs8NLgT4TXP7jOxHM5zDTZTp2E__CqJMaHuvHvjyOgToeYRaSprCDaG9m2mbxreFyqw3mgg__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.css	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:56	96270/96270	---MCZ	200	added ('OK')	application/javascript	etag:W/%221784b-5cf5f04d90616-gzip%22	https://www.addictinggames.com/sites/default/files/advagg_js/js__5R9GnKjiqiVBVphuJoBOwl2SXDFhOHnFx17PZMNTAvk__ruo_ojqvA5H_MwYnstPS7gyNp887FcZC-90K480oXbk__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/default/files/advagg_js/js__5R9GnKjiqiVBVphuJoBOwl2SXDFhOHnFx17PZMNTAvk__ruo_ojqvA5H_MwYnstPS7gyNp887FcZC-90K480oXbk__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:57	34145/34145	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285c5-5cf5f04d934f6-gzip%22	https://www.addictinggames.com/sites/default/files/advagg_js/js__OtGiBtpPZRIMU9W2trknig_ytPUqsj9LxtM3JQVNWuU__KPtLhEmnilnCu64H9hTaWgycZ0Q85UtxLODdv2LX1cY__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/default/files/advagg_js/js__OtGiBtpPZRIMU9W2trknig_ytPUqsj9LxtM3JQVNWuU__KPtLhEmnilnCu64H9hTaWgycZ0Q85UtxLODdv2LX1cY__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:57	5611/5611	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215fe-5cf5f04623f51-gzip%22	https://www.addictinggames.com/sites/default/files/advagg_js/js__BXCBdvF7nlC3ZebxJr9Jheh6Ae1atDcDiejnNupUEKI__zPbnII1Pu7PHPV9O-NgPc17jQx4iI50OF8OqyHUeZtg__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/default/files/advagg_js/js__BXCBdvF7nlC3ZebxJr9Jheh6Ae1atDcDiejnNupUEKI__zPbnII1Pu7PHPV9O-NgPc17jQx4iI50OF8OqyHUeZtg__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:57	7271/7271	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c79-5cf5f0462cbf2-gzip%22	https://www.addictinggames.com/sites/default/files/advagg_js/js__qW9YipdCN7Se1QI8fsWoqAYp6QkyP8zAdhBayf8Rnfo__apVOw08PbF1LFo0203yEfkyxbSiWSfkGvaiV47sJAc8__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/default/files/advagg_js/js__qW9YipdCN7Se1QI8fsWoqAYp6QkyP8zAdhBayf8Rnfo__apVOw08PbF1LFo0203yEfkyxbSiWSfkGvaiV47sJAc8__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:57	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/BTD4/www.google-analytics.com/analytics.js	(from https://www.addictinggames.com/embed/html5-games/20543)
18:14:58	1047/1047	---MCZ	200	added ('OK')	application/javascript	etag:W/%22420-5cf5f04d94497-gzip%22	https://www.addictinggames.com/sites/default/files/advagg_js/js__AgDmoHgz2BBsuYKlX8UnYzVidEjQtLHbepY8axA2DZg__dRPEMzYE8LXiV2va20EbSkmNp1WQCb1NtGUFFvIJjMw__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	C:/My%20Web%20Sites/BTD4/www.addictinggames.com/sites/default/files/advagg_js/js__AgDmoHgz2BBsuYKlX8UnYzVidEjQtLHbepY8axA2DZg__dRPEMzYE8LXiV2va20EbSkmNp1WQCb1NtGUFFvIJjMw__899aYgX9xU0F2ToPST6JUHjkMmxpSD54D-XCeOyONUI.js	(from https://www.addictinggames.com/embed/html5-games/20543)
